Year,Exact Date,Race,Age,Sex,Shots,Facial Expression,Title,Appearance,Main Keyword,Theme,Representations,Changing After An Event,Past Tragedy,Overall Percepted Theme,Sameness
2017,"Mar 6, 2017",White,Young,Female,Full,Smiling,TV Personality,Normal,2 And More Kids,Family,Group,No,No,Happiness,Yes
2021,"December 20, 2021",White,Middle Age,Female,Half,Smiling,Actress,Normal,Addiction,Family,Group,Yes,No,Hopefulness,Yes
2022,"July 18, 2022",White,Middle Age,Female,Half,Confident,Actress,Normal,Addiction,Personal Story,Individual,Yes,No,Hopefulness,17
2020,"February 3, 2020",White,Middle Age,Female,Self,Confident,Singer,Normal,Addiction,Personal Story,Individual,Yes,No,Hopefulness,97
2018,"November5,2018",White,Old,Female,Half,Confident,Actress,Normal,Addiction,Personal Story,Individual,Yes,Yes,Hopefulness,358
2022,"October 31, 2022",White,Old,Male,Full,Confident,Actor,Normal,Addiction,Personal Story,Individual,Yes,Yes,Hopefulness,7
2022,"October 24, 2022",White,Old,Male,Full,Confident,Actor,Normal,Aging,Personal Story,Individual,Yes,No,Happiness,8
2019,"May 27, 2019",White,Middle Age,Male,Full,Smiling,Royal Family,Normal,Baby,Family,Group,No,No,Happiness,Yes
2019,"June 3, 2019",African-American,Middle Age,Female,Half,Smiling,Journalist,Normal,Baby,Family,Group,Yes,No,Happiness,262
2019,"July 22, 2019",Mixed,Middle Age,Female,Half,Smiling,Royal Family,Normal,Baby,Family,Group,Yes,No,Mystery,Yes
2019,"April 8, 2019",White,Middle Age,Female,Self,Smiling,TV Personality,Normal,Baby,Family,Individual,Yes,No,Happiness,253
2019,"May 20,2019",Mixed,Middle Age,Female,Self,Smiling,Royal Family,Normal,Baby,Family,Individual,Yes,No,Happiness,999
2016,"Ağu 8, 2016",White,Child,Male,Full,Confident,Royal Family,Normal,Baby Family,Family,Individual,Yes,Yes,Happiness,199
2020,"October 19, 2020",White,Middle Age,Male,Half,Confident,Royal Family,Normal,Battle,Family,Group,Yes,No,Shocking,Yes
2021,"June 21, 2021",White,Old,Male,Self,Confident,Host,Normal,Battle,Personal Story,Individual,Yes,No,Hopefulness,60
2020,"June 29, 2020",African-American,Middle Age,Male,Self,Confident,Actor,Normal,Battle,Personal Story,Individual,Yes,No,Hopefulness,85
2018,"March 19,2018",White,Middle Age,Female,Half,Smiling,Non-Celebrity,Normal,Betrayal,Romance,Group,Yes,No,Sadness,Yes
2019,"November 18, 2019",White,Middle Age,Female,Half,Smiling,TV Personality,Normal,Better Together,Romance,Group,Yes,No,Happiness,Yes
2022,"March 14, 2022",African-American,Middle Age,Female,Self,Smiling,Singer,Overweight,Body Shame,Personal Story,Individual,Yes,No,Happiness,30
2022,"February 28, 2022",White,Old,Female,Half,Confident,Supermodel,Normal,Body Shame,Personal Story,Individual,Yes,No,Sadness,32
2021,"November 1, 2021",White,Middle Age,Female,Self,Smiling,Actress,Normal,Body Shame,Romance,Individual,Yes,No,Happiness,47
2019,"November 11, 2019",White,Middle Age,Female,Self,Smiling,Actress,Normal,Breaking Point,Personal Story,Individual,Yes,No,Mystery,296
2022,"June 27, 2022",White,Young,Male,Full,Confident,Singer,Normal,Brothers,Family,Group,No,No,Happiness,Yes
2020,"January 20, 2020",White,Young,Male,Self,Smiling,Actor,Normal,Brothers,Romance,Group,Yes,No,Happiness,Yes
2016,"Kas 28, 2016",White,Middle Age,Female,Half,Confident,TV Personality,Overweight,Celebrate,Personal Story,Individual,Yes,No,Happiness,219
2021,"January 18, 2021",White,Middle Age,Male,Half,Confident,Royal Family,Normal,Change,Family,Group,Yes,No,Happiness,Yes
2020,"February 17, 2020",White,Middle Age,Female,Half,Confident,Royal Family,Normal,Change,Family,Group,Yes,No,Hopefulness,95
2022,"May 30, 2022",White,Middle Age,Female,Half,Confident,Actress,Normal,Change,Personal Story,Individual,Yes,No,Hopefulness,22
2020,"March 16, 2020",White,Middle Age,Female,Self,Smiling,Actress,Normal,Change,Personal Story,Individual,Yes,No,Hopefulness,91
2019,"October 21, 2019",African-American,Middle Age,Female,Self,Smiling,Host,Normal,Change,Personal Story,Individual,Yes,No,Mystery,292
2016,"Eyl 19, 2016",White,Middle Age,Female,Self,Confident,Actor,Normal,Change My Life,Personal Story,Individual,Yes,No,Hopefulness,207
2015,"Kas 30, 2015",White,Middle Age,Female,Self,Confident,Singer,Overweight,Changed Life,Romance,Individual,Yes,No,Happiness,155
2018,"October15,2018",White,Old,Female,Half,Confident,Actress,Normal,Confessions,Career,Group,No,No,Shocking,Yes
2018,"July23,2018",African-American,Middle Age,Female,Self,Smiling,Singer,Normal,Confessions,Death,Individual,Yes,Yes,Sadness,341
2020,"June 8, 2020",White,Old,Female,Self,Confident,Actress,Normal,Confessions,Family,Individual,Yes,No,Sadness,86
2021,"May 24, 2021",White,Middle Age,Female,Half,Smiling,Singer,Normal,Confessions,Personal Story,Individual,No,No,Happiness,63
2018,"December3,2018",White,Old,Female,Half,Smiling,Singer,Normal,Confessions,Personal Story,Individual,No,Yes,Hopefulness,362
2022,"April 4, 2022",White,Middle Age,Female,Half,Smiling,Royal Family,Normal,Controversy,Family,Group,Yes,No,Shocking,Yes
2019,"July 15, 2019",Hispanic,Middle Age,Male,Self,Confident,Lawyer,Normal,Death,Death,Individual,No,No,Mystery,274
2019,"March 18, 2019",White,Young,Male,Self,Confident,Actor,Normal,Death,Death,Individual,No,No,Sadness,248
2019,"August 5, 2019",White,Middle Age,Female,Half,Confident,Actress,Normal,Disease,Personal Story,Individual,No,No,Hopefulness,279
2017,"Mar 13, 2017",White,Young,Female,Self,Smiling,TV Personality,Normal,Divorce,Family,Individual,Yes,No,Sadness,236
2017,"Mar 27, 2017",African-American,Middle Age,Female,Full,Smiling,TV Personality,Normal,Dream Baby,Family,Group,Yes,No,Happiness,Yes
2019,"February 25, 2019",White,Middle Age,Male,Half,Smiling,Host,Normal,Dream Baby,Family,Group,Yes,No,Mystery,245
2019,"May 13, 2019",Hispanic,Middle Age,Female,Half,Smiling,Journalist,Normal,Dream Family,Family,Group,Yes,No,Happiness,261
2019,"December 16, 2019",White,Middle Age,Female,Self,Smiling,Singer,Normal,Dreams,Personal Story,Individual,Yes,No,Happiness,305
2019,"November 4, 2019",Mixed,Middle Age,Female,Self,Smiling,Royal Family,Normal,Emotional,Personal Story,Individual,No,No,Sadness,295
2022,"September 12, 2022",White,Old,Male,Half,Smiling,Actor,Normal,Ending Of A Relationship,Romance,Group,Yes,No,Sadness,Yes
2018,"March 5,2018",White,Middle Age,Female,Self,Confident,Actress,Normal,Ending Of A Relationship,Romance,Individual,Yes,Yes,Sadness,311
2022,March 7 2022,White,Old,Female,Half,Confident,Actress,Normal,Entertainment News,Entertainment Business,Individual,No,No,Sadness,31
2020,"April 20, 2020",White,Middle Age,Male,Half,Confident,Actor,Normal,Entertainment News,Entertainment Business,Individual,Yes,No,Shocking,90
2022,"June 20, 2022",African-American,Middle Age,Female,Half,Smiling,Host,Normal,Faith,Personal Story,Individual,Yes,Yes,Happiness,20
2019,"April 29, 2019",White,Middle Age,Female,Self,Confident,Actress,Normal,Fall,Personal Story,Individual,Yes,No,Shocking,259
2019,"July 8, 2019",Mixed,Middle Age,Female,Half,Smiling,Actor,Normal,Family,Family,Group,Yes,No,Happiness,Yes
2016,"Eki 24, 2016",White,Middle Age,Male,Full,Smiling,TV Personality,Normal,Family,Family,Group,Yes,Yes,Challenge,214
2015,"Şub 2, 2015",Hispanic,Middle Age,Female,Full,Confident,Singer,Normal,Family,Family,Group,Yes,Yes,Happiness,106
2015,"Tem 6, 2015",White,Middle Age,Male,Half,Serious,Actor,Normal,Family,Family,Individual,No,No,Happiness,130
2019,"January 7,2019",White,Young,Male,Full,Smiling,TV Personality,Normal,Family,Personal Story,Group,Yes,Yes,Hopefulness,Yes
2018,"December 31,2018",White,Young,Female,Self,Smiling,Royal Family,Normal,Family,Personal Story,Group,Yes,Yes,Shocking,Yes
2015,"Nis 20, 2015",White,Young,Male,Self,Confident,Singer,Normal,Family ,Career,Individual,Yes,Yes,Happiness,119
2022,"August 29, 2022",African-American,Old,Female,Half,Smiling,Host,Normal,Family First,Family,Group,No,No,Happiness,98
2021,"February 15, 2021",White,Old,Female,Full,Smiling,First Lady,Normal,Family First,Family,Group,No,No,Happiness,Yes
2021,"August 23, 2021",White,Young,Male,Full,Smiling,Actor,Normal,Family First,Family,Group,Yes,No,Happiness,54
2021,"October 11, 2021",White,Middle Age,Male,Self,Smiling,Royal Family,Normal,Family First,Family,Group,Yes,No,Happiness,Yes
2020,2020,White,Old,Male,Self,Confident,Actor,Normal,Family First,Family,Individual,No,No,Hopefulness,71
2022,"December 19, 2022",White,Old,Male,Half,Confident,Singer,Normal,Family First,Family,Individual,Yes,No,Happiness,1
2020,"october 24, 2020",White,Middle Age,Male,Half,Smiling,Actor,Normal,Family First,Family,Individual,Yes,No,Happiness,75
2020,"September 21, 2020",White,Middle Age,Female,Full,Smiling,Host,Normal,Family First,Personal Story,Individual,No,No,Happiness,78
2016,"Tem 4, 2016",White,Middle Age,Male,Half,Smiling,Actor,Normal,Family Journey,Family,Individual,Yes,Yes,Happiness,194
2015,"Ağu 31, 2015",White,Young,Female,Half,Smiling,TV Personality,Normal,Family Scandal,Family,Group,Yes,No,Sadness,138
2015,"Eyl 7, 2015",White,Middle Age,Unknown,Half,Smiling,TV Personality,Normal,Family Scandal,Family,Group,Yes,Yes,Sadness,139
2016,"Eki 17, 2016",White,Middle Age,Male,Half,Confident,Actor,Normal,Family Secrets,Family,Group,Yes,Yes,Mystery,213
2019,"October 7, 2019",White,Middle Age,Female,Self,Confident,Actress,Normal,Fate,Personal Story,Individual,Yes,No,Challenge,290
2019,"October 28, 2019",White,Middle Age,Male,Self,Smiling,Actor,Normal,Father And Son,Family,Group,Yes,Yes,Sadness,Yes
2022,"May 2, 2022",White,Middle Age,Male,Self,Confident,Royal Family,Normal,Fatherhood,Family,Individual,No,No,Happiness,26
2021,"June 28, 2021",Mixed,Middle Age,Male,Half,Smiling,Actor,Normal,Fatherhood,Family,Individual,Yes,No,Happiness,59
2019,"June 10, 2019",White,Old,Male,Self,Confident,Actor,Normal,Fight,Personal Story,Individual,Yes,No,Challenge,266
2022,"November 14, 2022",White,Middle Age,Female,Self,Smiling,Actress,Normal,Finding,Personal Story,Individual,Yes,Yes,Happiness,5
2016,"Nis 4, 2016",White,Middle Age,Female,Half,Smiling,Royal Family,Normal,Following Dieana'S Steps,Personal Story,Individual,Yes,No,Hopefulness,181
2016,"Eki 31, 2016",White,Middle Age,Female,Self,Smiling,TV Personality,Normal,Found Happiness,Romance,Individual,Yes,No,Happiness,215
2022,"August 8, 2022",White,Young,Female,Self,Confident,Tiktok Star,Normal,Freedom,Personal Story,Individual,Yes,Yes,Sadness,16
2021,"March 8, 2021",White,Old,Male,Self,Smiling,Actor,Normal,Friendship,Family,Group,No,No,Happiness,Yes
2022,"July 25, 2022",White,Old,Male,Half,Smiling,Actor,Normal,Friendship,Personal Story,Group,No,No,Happiness,Yes
2019,"July 29, 2019",Mixed,Middle Age,Female,Self,Smiling,Royal Family,Normal,Friendship,Personal Story,Group,No,No,Mystery,Yes
2020,"May 18, 2020",White,Middle Age,Male,Full,Smiling,Host,Normal,Fun,Family,Group,No,No,Happiness,Yes
2019,"May 6, 2019",White,Middle Age,Female,Half,Smiling,Actress,Normal,Gratefull,Personal Story,Individual,Yes,No,Happiness,260
2016,"Oca 11, 2016",White,Middle Age,Female,Full,Smiling,Unknown,Normal,Half Their Size,Career,Group,Yes,No,Happiness,Yes
2016,"Oca 11, 2016",White,Middle Age,Female,Full,Smiling,Unknown,Normal,Half Their Size,Diet,Group,Yes,Yes,Happiness,Yes
2019,"September 9, 2019",White,Young,Female,Self,Smiling,Singer,Normal,Happy,Personal Story,Individual,Yes,No,Happiness,286
2015,"Şub 9, 2015",White,Middle Age,Unknown,Half,Confident,Victim,Normal,Heartbreak,Death,Group,No,No,Sadness,107
2015,"Oca 26, 2015",White,Middle Age,Male,Half,Confident,Victim,Normal,Heartbreak,Death,Group,Yes,Yes,Sadness,Yes
2019,"September 16, 2019",White,Middle Age,Female,Self,Smiling,Singer,Normal,Heartbreak,Personal Story,Individual,Yes,No,Challenge,287
2017,"Oca 16, 2017",White,Old,Female,Half,Smiling,TV Personality,Normal,Heartbreak,Romance,Group,Yes,Yes,Sadness,227
2019,"April 15, 2019",White,Old,Female,Self,Smiling,Singer,Normal,Heartbreak,Romance,Individual,Yes,No,Happiness,254
2017,"Şub 13, 2017",Mixed,Young,Female,Self,Smiling,Actress,Normal,Her Life Story,Death,Individual,Yes,No,Sadness,231
2016,"Mar 7, 2016",White,Middle Age,Female,Self,Confident,Actress,Normal,Hidden Life,Personal Story,Individual,Yes,Yes,Mystery,174
2016,"Haz 20, 2016",African-American,Young,Male,Half,Smiling,Athlete,Normal,His Life,Career,Individual,Yes,Yes,Hopefulness,192
2017,"Oca 2, 2017",White,Young,Female,Self,Smiling,Actress,Normal,Holiday Family,Family,Individual,Yes,Yes,Happiness,225
2016,"Haz 6, 2016",African-American,Middle Age,Male,Self,Smiling,TV Personality,Overweight,Homeless To Millionaire,Career,Individual,Yes,Yes,Happiness,190
2021,"September 13, 2021",African-American,Young,Male,Full,Smiling,Non-Celebrity,Normal,Hope,Personal Story,Group,Yes,Yes,Hopefulness,Yes
2017,"Şub 27, 2017",White,Young,Female,Full,Smiling,Actress,Normal,Hottest Red Carpet Looks,Fashion,Individual,No,No,Happiness,233
2017,"Oca 23, 2017",African-American,Middle Age,Female,Full,Smiling,TV Personality,Overweight,How İ Lost Weight,Diet,Individual,Yes,Yes,Happiness,228
2017,"Şub 20, 2017",White,Middle Age,Female,Self,Smiling,TV Personality,Overweight,I Am Proud Of Who I Am,Self-Love,Individual,Yes,Yes,Happiness,232
2022,"September 19, 2022",White,Old,Male,Self,Smiling,Actor,Normal,I'm Different,Personal Story,Individual,No,No,Happiness,12
2020,"May 4, 2020",White,Middle Age,Female,Half,Smiling,Actress,Normal,Kids,Family,Group,No,No,Happiness,Yes
2018,"April 30,2018",White,Middle Age,Female,Half,Smiling,Singer,Normal,Kids,Family,Group,No,No,Hopefulness,322
2020,"September 7, 2020",White,Middle Age,Female,Full,Smiling,Athlete,Normal,Kids,Family,Group,Yes,No,Happiness,Yes
2020,"November 9, 2020",White,Young,Female,Half,Smiling,Actress,Normal,Kids,Family,Group,Yes,No,Hopefulness,Yes
2019,"June 17, 2019",White,Middle Age,Male,Self,Smiling,TV Personality,Normal,Kids,Family,Individual,Yes,No,Happiness,267
2018,"October29,2018",White,Middle Age,Female,Self,Smiling,Royal Family,Normal,Kids,Family,Individual,Yes,No,Happiness,357
2018,"November12,2018",Mixed,Middle Age,Female,Full,Smiling,TV Personality,Normal,Kids,Family,Individual,Yes,No,Happiness,359
2021,"November 8, 2021",White,Middle Age,Female,Half,Confident,Actress,Normal,Kids,Family,Individual,Yes,No,Happiness,46
2021,"May 17, 2021",White,Middle Age,Female,Half,Smiling,Actress,Normal,Kids,Family,Individual,Yes,No,Happiness,64
2020,"August 17, 2020",White,Middle Age,Female,Full,Confident,Singer,Normal,Kids,Family,Individual,Yes,No,Happiness,81
2022,"December 12, 2022",White,Middle Age,Male,Full,Confident,Actor,Normal,Kids,Social Message,Individual,Yes,Yes,Sadness,2
2019,"February 11,2019",White,Young,Female,Self,Smiling,Actress,Normal,Life,Personal Story,Individual,Yes,No,Happiness,242
2021,"April 12, 2021",African-American,Middle Age,Female,Full,Smiling,Supermodel,Normal,Life Adventure,Family,Group,Yes,No,Happiness,Yes
2020,"March 23, 2020",White,Middle Age,Male,Half,Confident,Royal Family,Normal,Life Adventure,Family,Group,Yes,No,Sadness,Yes
2019,"January 21,2019",White,Middle Age,Female,Self,Confident,Actress,Normal,Life Adventure,Family,Individual,No,No,Hapiness,373
2020,"March 9, 2020",White,Middle Age,Female,Half,Confident,Actress,Normal,Life Adventure,Family,Individual,No,No,Hopefulness,92
2021,"September 27, 2021",White,Old,Male,Full,Smiling,Host,Normal,Life Adventure,Family,Individual,Yes,No,Happiness,51
2021,"July 26, 2021",White,Old,Female,Half,Smiling,Royal Family,Overweight,Life Adventure,Family,Individual,Yes,No,Happiness,56
2018,"July16,2018",White,Middle Age,Female,Full,Smiling,TV Personality,Normal,Life Adventure,Personal Story,Group,Yes,Yes,Happiness,340
2022,"May 9, 2022",White,Old,Female,Full,Smiling,Actress,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,25
2018,"May 21,2018",White,Middle Age,Female,Full,Smiling,Actress,Overweight,Life Adventure,Personal Story,Individual,No,No,Happiness,327
2018,"August6,2018",White,Middle Age,Male,Self,Smiling,Actor,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,343
2018,"October8,2018",Mixed,Middle Age,Female,Half,Smiling,TV Personality,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,352
2018,"November26,2018",African-American,Middle Age,Female,Half,Smiling,Politican Wife,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,361
2022,"January 10, 2022",White,Old,Female,Half,Smiling,Actress,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,39
2021,"April 5, 2021",White,Middle Age,Female,Half,Smiling,Actress,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,65
2020,2020,White,Middle Age,Female,Self,Smiling,Royal Family,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,70
2020,"February 24, 2020",White,Middle Age,Male,Self,Confident,Actor,Normal,Life Adventure,Personal Story,Individual,No,No,Happiness,94
2018,"June18,2018",White,Middle Age,Female,Half,Smiling,Author,Overweight,Life Adventure,Personal Story,Individual,No,No,Hopefulness,333
2018,"September3,2018",African-American,Middle Age,Female,Self,Confident,Singer,Normal,Life Adventure,Personal Story,Individual,No,No,Hopefulness,347
2018,"October 1,2018",White,Old,Female,Self,Smiling,Actress,Normal,Life Adventure,Personal Story,Individual,No,No,Hopefulness,351
2021,"December 13, 2021",White,Old,Female,Full,Confident,Singer,Normal,Life Adventure,Personal Story,Individual,No,No,Hopefulness,43
2020,"October 5, 2020",White,Old,Female,Self,Confident,Politician,Normal,Life Adventure,Personal Story,Individual,No,No,Hopefulness,76
2018,"September24,2018",White,Middle Age,Female,Half,Smiling,Royal Family,Normal,Life Adventure,Personal Story,Individual,No,No,Sadness,350
2018,"December 24,2018",White,Young,Female,Full,Smiling,Singer,Normal,Life Adventure,Personal Story,Individual,Yes,No,Hapiness,366
2018,"March 12,2018",African-American,Middle Age,Female,Self,Smiling,Host,Normal,Life Adventure,Personal Story,Individual,Yes,No,Happiness,313
2018,"July30,2018",White,Middle Age,Female,Half,Smiling,Royal Family,Normal,Life Adventure,Personal Story,Individual,Yes,No,Happiness,342
2021,"July 5, 2021",White,Middle Age,Female,Half,Confident,Actress,Normal,Life Adventure,Personal Story,Individual,Yes,No,Happiness,58
2020,2020,White,Old,Male,Self,Confident,Actor,Normal,Life Adventure,Personal Story,Individual,Yes,No,Hopefulness,74
2018,"April 2,2018",White,Middle Age,Female,Self,Smiling,Actress,Overweight,Life Adventure,Personal Story,Individual,Yes,Yes,Happiness,317
2018,"April 9,2018",White,Middle Age,Female,Self,Smiling,Actress,Normal,Life Adventure,Personal Story,Individual,Yes,Yes,Hopefulness,318
2021,"October 25, 2021",White,Old,Female,Self,Smiling,Host,Normal,Life Adventure,Romance,Individual,Yes,No,Hopefulness,48
2015,"Haz 22, 2015",White,Young,Female,Half,Smiling,Actress,Overweight,Life Change,Career,Individual,Yes,Yes,Happiness,128
2015,"May 11, 2015",White,Middle Age,Transgender,Self,Confident,TV Personality,Normal,Life Change,Family,Individual,No,No,Challenge,122
2015,"Mar 30, 2015",White,Middle Age,Transgender,Self,Confident,TV Personality,Normal,Life Change,Family,Individual,Yes,No,Challenge,116
2015,"Şub 16, 2015",White,Middle Age,Transgender,Self,Smiling,TV Personality,Normal,Life Change,Family,Individual,Yes,Yes,Happiness,108
2015,"Haz 15, 2015",White,Middle Age,Transgender,Self,Confident,TV Personality,Normal,Life Change,Personal Story,Individual,Yes,Yes,Challenge,127
2016,"Eyl 5, 2016",Asian,Middle Age,Female,Full,Smiling,TV Personality,Normal,Life Now,Family,Group,Yes,No,Hopefulness,Yes
2016,"Eyl 5, 2016",Asian,Child,Female,Full,Smiling,TV Personality,Normal,Life Now,Family,Group,Yes,Yes,Hopefulness,Yes
2022,"October 17, 2022",White,Old,Female,Self,Confident,Singer,Normal,Losing Someone,Personal Story,Individual,Yes,Yes,Hopefulness,9
2022,"January 17, 2022",White,Middle Age,Female,Half,Smiling,Actress,Overweight,Loss,Personal Story,Individual,Yes,Yes,Hopefulness,38
2021,"May 10, 2021",African-American,Young,Female,Half,Smiling,Actress,Normal,Love,Family,Group,No,No,Happiness,Yes
2020,"August 3, 2020",White,Old,Male,Half,Confident,Host,Normal,Love,Family,Group,Yes,No,Happiness,100
2020,"October 12, 2020",White,Old,Female,Half,Smiling,Non-Celebrity,Normal,Love,Family,Group,Yes,No,Happiness,Yes
2018,"April 16,2018",White,Middle Age,Female,Self,Smiling,Royal Family,Normal,Love,Family,Group,Yes,Yes,Hopefulness,Yes
2021,"March 22, 2021",African-American,Middle Age,Female,Half,Smiling,First Lady,Normal,Love,Family,Individual,No,No,Happiness,66
2018,"August27,2018",White,Old,Female,Half,Smiling,Actress,Normal,Love,Personal Story,Group,Yes,Yes,Hopefulness,Yes
2021,"September 20, 2021",Mixed,Young,Female,Self,Smiling,Actress,Normal,Love,Personal Story,Individual,No,No,Happiness,52
2021,"June 14, 2021",White,Middle Age,Male,Full,Smiling,Singer,Normal,Love,Personal Story,Individual,Yes,No,Happiness,61
2018,"July 2,2018",White,Middle Age,Female,Half,Smiling,Singer,Normal,Love,Romance,Group, No,No,Happiness,Yes
2021,"February 22, 2021",White,Old,Female,Full,Confident,Host,Normal,Love,Romance,Group,No,No,Happiness,Yes
2021,"August 2, 2021",White,Middle Age,Male,Half,Confident,Actor,Normal,Love,Romance,Group,Yes,No,Happiness,Yes
2015,"Ağu 10, 2015",White,Middle Age,Unknown,Half,Smiling,TV Personality,Normal,Love,Romance,Group,Yes,Yes,Happiness,135
2016,"Eyl 12, 2016",African-American,Young,Female,Full,Smiling,TV Personality,Overweight,Love,Romance,Group,Yes,Yes,Happiness,206
2021,"November 29, 2021",White,Old,Male,Half,Smiling,Singer,Normal,Love,Romance,Group,Yes,Yes,Sadness,Yes
2022,"February 7, 2022",White,Middle Age,Female,Half,Confident,Actress,Normal,Love,Romance,Individual,No,No,Hopefulness,35
2022,"February 14, 2022",Mixed,Middle Age,Female,Half,Confident,Singer,Normal,Love,Romance,Individual,Yes,No,Happiness,34
2016,"Mar 21, 2016",White,Old,Male,Half,Smiling,Politician,Normal,Love Story,Romance,Group,No,No,Happiness,Yes
